Customer Id,Customer City,Customer Country,Customer State,Department,Customer Zipcode
20755,Caguas,Puerto Rico,PR,Consumer,725
19492,Caguas,Puerto Rico,PR,Consumer,725
19491,San Jose,USA,CA,Consumer,95125
19490,Los Angeles,USA,CA,Home Office,90027
19489,Caguas,Puerto Rico,PR,Corporate,725
19488,Tonawanda,USA,NY,Consumer,14150
19487,Caguas,Puerto Rico,PR,Home Office,725
19486,Miami,USA,FL,Corporate,33162
19485,Caguas,Puerto Rico,PR,Corporate,725
19484,San Ramon,USA,CA,Corporate,94583
19483,Caguas,Puerto Rico,PR,Corporate,725
19482,Freeport,USA,NY,Consumer,11520
19481,Salinas,USA,CA,Corporate,93905
19480,Caguas,Puerto Rico,PR,Corporate,725
19479,Peabody,USA,MA,Corporate,1960
19478,Caguas,Puerto Rico,PR,Corporate,725
19477,Canovanas,Puerto Rico,PR,Corporate,729
19476,Paramount,USA,CA,Corporate,90723
19475,Caguas,Puerto Rico,PR,Consumer,725
19474,Mount Prospect,USA,IL,Consumer,60056
19473,Long Beach,USA,CA,Corporate,90813
19472,Caguas,Puerto Rico,PR,Corporate,725
19471,Rancho Cordova,USA,CA,Corporate,95670
19470,Caguas,Puerto Rico,PR,Corporate,725
19469,Billings,USA,MT,Corporate,59102
19468,Caguas,Puerto Rico,PR,Corporate,725
19467,Wilkes Barre,USA,PA,Consumer,18702
19466,Caguas,Puerto Rico,PR,Corporate,725
19465,Roseville,USA,MI,Corporate,48066
19464,Bellflower,USA,CA,Consumer,90706
19463,Caguas,Puerto Rico,PR,Consumer,725
19462,Wheaton,USA,IL,Consumer,60187
19461,Caguas,Puerto Rico,PR,Consumer,725
19460,Detroit,USA,MI,Consumer,48238
19459,Dallas,USA,TX,Consumer,75220
19458,Caguas,Puerto Rico,PR,Corporate,725
19457,Carlisle,USA,PA,Corporate,17013
19456,Dallas,USA,TX,Corporate,75228
19455,Caguas,Puerto Rico,PR,Consumer,725
19454,Newark,USA,DE,Consumer,19702
19453,Panorama City,USA,CA,Consumer,91402
19452,Caguas,Puerto Rico,PR,Home Office,725
19451,Atlanta,USA,GA,Home Office,30318
19450,Caguas,Puerto Rico,PR,Home Office,725
19449,Fremont,USA,CA,Consumer,94539
19448,Caguas,Puerto Rico,PR,Corporate,725
19447,Rochester,USA,NY,Corporate,14609
19446,Dallas,USA,TX,Corporate,75211
9083,Bayamon,Puerto Rico,PR,Home Office,957
4741,Caguas,Puerto Rico,PR,Home Office,725
639,Caguas,Puerto Rico,PR,Home Office,725
9702,Caguas,Puerto Rico,PR,Home Office,725
9114,Caguas,Puerto Rico,PR,Home Office,725
1362,Caguas,Puerto Rico,PR,Home Office,725
8011,Caguas,Puerto Rico,PR,Home Office,725
3296,Caguas,Puerto Rico,PR,Home Office,725
3182,Caguas,Puerto Rico,PR,Home Office,725
7864,Caguas,Puerto Rico,PR,Home Office,725
11169,Caguas,Puerto Rico,PR,Home Office,725
5197,Caguas,Puerto Rico,PR,Home Office,725
1535,Caguas,Puerto Rico,PR,Home Office,725
6122,Caguas,Puerto Rico,PR,Home Office,725
9451,Caguas,Puerto Rico,PR,Home Office,725
542,Caguas,Puerto Rico,PR,Home Office,725
11329,Caguas,Puerto Rico,PR,Home Office,725
3570,Caguas,Puerto Rico,PR,Home Office,725
650,Caguas,Puerto Rico,PR,Home Office,725
9353,Caguas,Puerto Rico,PR,Home Office,725
54,Caguas,Puerto Rico,PR,Home Office,725
12151,Caguas,Puerto Rico,PR,Home Office,725
10018,Caguas,Puerto Rico,PR,Home Office,725
4936,Caguas,Puerto Rico,PR,Home Office,725
8707,Caguas,Puerto Rico,PR,Home Office,725
1025,Caguas,Puerto Rico,PR,Home Office,725
8831,Caguas,Puerto Rico,PR,Home Office,725
10679,Caguas,Puerto Rico,PR,Home Office,725
5007,Caguas,Puerto Rico,PR,Home Office,725
9854,Caguas,Puerto Rico,PR,Home Office,725
376,Caguas,Puerto Rico,PR,Home Office,725
5417,Caguas,Puerto Rico,PR,Home Office,725
10759,Caguas,Puerto Rico,PR,Home Office,725
8541,Caguas,Puerto Rico,PR,Home Office,725
3752,Caguas,Puerto Rico,PR,Home Office,725
4673,Caguas,Puerto Rico,PR,Home Office,725
5367,Caguas,Puerto Rico,PR,Home Office,725
10485,Caguas,Puerto Rico,PR,Home Office,725
9272,Caguas,Puerto Rico,PR,Home Office,725
647,Caguas,Puerto Rico,PR,Consumer,725
6398,Caguas,Puerto Rico,PR,Consumer,725
4209,Caguas,Puerto Rico,PR,Consumer,725
8917,Caguas,Puerto Rico,PR,Consumer,725
7784,Caguas,Puerto Rico,PR,Consumer,725
1425,Caguas,Puerto Rico,PR,Consumer,725
2737,Caguas,Puerto Rico,PR,Consumer,725
6428,Caguas,Puerto Rico,PR,Consumer,725
6543,Caguas,Puerto Rico,PR,Consumer,725
3990,Guayama,Puerto Rico,PR,Consumer,784
8524,Caguas,Puerto Rico,PR,Consumer,725
9204,Caguas,Puerto Rico,PR,Consumer,725
11761,Caguas,Puerto Rico,PR,Consumer,725
9554,Caguas,Puerto Rico,PR,Consumer,725
5118,Caguas,Puerto Rico,PR,Consumer,725
5506,Caguas,Puerto Rico,PR,Consumer,725
1423,Caguas,Puerto Rico,PR,Consumer,725
138,Caguas,Puerto Rico,PR,Consumer,725
6360,Caguas,Puerto Rico,PR,Consumer,725
2053,Caguas,Puerto Rico,PR,Consumer,725
10344,Juana Diaz,Puerto Rico,PR,Consumer,795
3375,Caguas,Puerto Rico,PR,Consumer,725
1339,Caguas,Puerto Rico,PR,Consumer,725
7247,Caguas,Puerto Rico,PR,Consumer,725
1273,Caguas,Puerto Rico,PR,Consumer,725
6277,Caguas,Puerto Rico,PR,Consumer,725
7701,Caguas,Puerto Rico,PR,Consumer,725
4126,Caguas,Puerto Rico,PR,Consumer,725
9528,Caguas,Puerto Rico,PR,Consumer,725
1853,Caguas,Puerto Rico,PR,Consumer,725
11149,Caguas,Puerto Rico,PR,Consumer,725
5828,Caguas,Puerto Rico,PR,Consumer,725
6887,Caguas,Puerto Rico,PR,Consumer,725
4781,Caguas,Puerto Rico,PR,Consumer,725
10668,Caguas,Puerto Rico,PR,Consumer,725
5421,Caguas,Puerto Rico,PR,Consumer,725
10200,Caguas,Puerto Rico,PR,Consumer,725
11254,Caguas,Puerto Rico,PR,Consumer,725
11106,Caguas,Puerto Rico,PR,Consumer,725
8456,Caguas,Puerto Rico,PR,Consumer,725
6149,Caguas,Puerto Rico,PR,Consumer,725
1473,Caguas,Puerto Rico,PR,Consumer,725
1840,Caguas,Puerto Rico,PR,Consumer,725
6757,Caguas,Puerto Rico,PR,Consumer,725
3972,Caguas,Puerto Rico,PR,Consumer,725
9316,Caguas,Puerto Rico,PR,Consumer,725
11213,Caguas,Puerto Rico,PR,Consumer,725
3474,Caguas,Puerto Rico,PR,Consumer,725
14630,Caguas,Puerto Rico,PR,Consumer,725
13256,Caguas,Puerto Rico,PR,Consumer,725
14665,Caguas,Puerto Rico,PR,Consumer,725
13363,Caguas,Puerto Rico,PR,Consumer,725
14645,Caguas,Puerto Rico,PR,Consumer,725
13163,Caguas,Puerto Rico,PR,Consumer,725
14553,Caguas,Puerto Rico,PR,Consumer,725
14287,Caguas,Puerto Rico,PR,Consumer,725
13179,Caguas,Puerto Rico,PR,Consumer,725
13035,Caguas,Puerto Rico,PR,Consumer,725
14322,Caguas,Puerto Rico,PR,Consumer,725
13196,Caguas,Puerto Rico,PR,Consumer,725
14604,Caguas,Puerto Rico,PR,Consumer,725
12961,Caguas,Puerto Rico,PR,Consumer,725
14676,Caguas,Puerto Rico,PR,Consumer,725
14087,Caguas,Puerto Rico,PR,Consumer,725
13194,Caguas,Puerto Rico,PR,Consumer,725
14513,Caguas,Puerto Rico,PR,Consumer,725
13461,Caguas,Puerto Rico,PR,Consumer,725
14510,Caguas,Puerto Rico,PR,Consumer,725
13190,Caguas,Puerto Rico,PR,Consumer,725
14508,Caguas,Puerto Rico,PR,Consumer,725
14472,Caguas,Puerto Rico,PR,Consumer,725
14562,Caguas,Puerto Rico,PR,Consumer,725
13206,Caguas,Puerto Rico,PR,Consumer,725
13080,Caguas,Puerto Rico,PR,Consumer,725
14633,Caguas,Puerto Rico,PR,Consumer,725
